#,Tipe,Biaya,Modal,DP Server,Sisa Server,Profit,Metode Pembayaran,Supplier,Status,Tanggal Transaksi,Tanggal Selesai
1,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
2,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
3,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
4,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
5,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
6,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
7,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
8,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,1 Juli 2025,2 Juli 2025
9,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,2 Juli 2025
10,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,2 Juli 2025
11,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,2 Juli 2025
12,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,2 Juli 2025
13,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,3 Juli 2025
14,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,2 Juli 2025,2 Juli 2025
15,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,2 Juli 2025,3 Juli 2025
16,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,2 Juli 2025,4 Juli 2025
17,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,2 Juli 2025,3 Juli 2025
18,Tipe A,260000,240000,240000,0,20000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
19,Tipe A,260000,240000,240000,0,20000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
20,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
21,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
22,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
23,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
24,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,3 Juli 2025,4 Juli 2025
25,Tipe A,270000,225000,225000,0,45000,Transfer,Supplier B,Selesai,3 Juli 2025,4 Juli 2025
26,Tipe A,270000,225000,225000,0,45000,Transfer,Supplier B,Selesai,3 Juli 2025,4 Juli 2025
27,Tipe A,270000,225000,225000,0,45000,Transfer,Supplier B,Selesai,3 Juli 2025,4 Juli 2025
28,Tipe A,350000,260000,260000,0,90000,Transfer,Supplier D,Selesai,3 Juli 2025,4 Juli 2025
29,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,4 Juli 2025,5 Juli 2025
30,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,4 Juli 2025,5 Juli 2025
31,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,4 Juli 2025,5 Juli 2025
32,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,4 Juli 2025,5 Juli 2025
33,Tipe A,260000,230000,230000,0,30000,Transfer,Supplier B,Selesai,5 Juli 2025,6 Juli 2025
34,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,5 Juli 2025,6 Juli 2025
35,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,6 Juli 2025,7 Juli 2025
36,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
37,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
38,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
39,Tipe A,260000,240000,240000,0,20000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
40,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
41,Tipe A,260000,240000,240000,0,20000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
42,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,5 Juli 2025,10 Juli 2025
43,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,8 Juli 2025,10 Juli 2025
44,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,8 Juli 2025,10 Juli 2025
45,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,8 Juli 2025,10 Juli 2025
46,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,8 Juli 2025,15 Juli 2025
47,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,9 Juli 2025,10 Juli 2025
48,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier B,Selesai,9 Juli 2025,10 Juli 2025
49,Tipe A,300000,240000,240000,0,60000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
50,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
51,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,10 Juli 2025,15 Juli 2025
52,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
53,Tipe A,260000,240000,240000,0,20000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
54,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
55,Tipe A,270000,240000,240000,0,30000,Transfer,Supplier A,Selesai,10 Juli 2025,12 Juli 2025
56,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier D,Selesai,10 Juli 2025,13 Juli 2025
57,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier D,Selesai,10 Juli 2025,13 Juli 2025
58,Tipe A,270000,230000,230000,0,40000,Transfer,Supplier D,Selesai,10 Juli 2025,13 Juli 2025
59,Tipe A,220000,220000,220000,0,0,Transfer,Supplier A,Selesai,14 Juli 2025,15 Juli 2025
60,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier A,Selesai,14 Juli 2025,15 Juli 2025
61,Tipe A,265000,220000,220000,0,45000,Transfer,Supplier A,Selesai,14 Juli 2025,15 Juli 2025
62,Tipe A,270000,235000,235000,0,35000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
63,Tipe A,270000,235000,235000,0,35000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
64,Tipe A,260000,235000,235000,0,25000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
65,Tipe A,269000,235000,235000,0,34000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
66,Tipe A,260000,235000,235000,0,25000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
67,Tipe A,270000,235000,235000,0,35000,Transfer,Supplier C,Selesai,12 Juli 2025,15 Juli 2025
68,Tipe A,265000,220000,220000,0,45000,Transfer,Supplier B,Selesai,13 Juli 2025,15 Juli 2025
69,Tipe A,265000,220000,220000,0,45000,Transfer,Supplier B,Selesai,14 Juli 2025,15 Juli 2025
70,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,14 Juli 2025,15 Juli 2025
71,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,14 Juli 2025,15 Juli 2025
72,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,14 Juli 2025,15 Juli 2025
73,Tipe A,220000,210000,210000,0,10000,Transfer,Supplier A,Selesai,15 Juli 2025,17 Juli 2025
74,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,15 Juli 2025,17 Juli 2025
75,Tipe A,250000,210000,210000,0,40000,Transfer,Supplier A,Selesai,15 Juli 2025,17 Juli 2025
76,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,15 Juli 2025,17 Juli 2025
77,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,15 Juli 2025,17 Juli 2025
78,Tipe A,255000,220000,220000,0,35000,Transfer,Supplier B,Selesai,15 Juli 2025,27 Juli 2025
79,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,15 Juli 2025,17 Juli 2025
80,Tipe A,230000,220000,220000,0,10000,Transfer,Supplier B,Selesai,17 Juli 2025,19 Juli 2025
81,Tipe A,230000,220000,220000,0,10000,Transfer,Supplier B,Selesai,17 Juli 2025,19 Juli 2025
82,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,17 Juli 2025,19 Juli 2025
83,Tipe A,255000,220000,220000,0,35000,Transfer,Supplier B,Selesai,18 Juli 2025,27 Juli 2025
84,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,18 Juli 2025,19 Juli 2025
85,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,18 Juli 2025,19 Juli 2025
86,Tipe A,220000,210000,210000,0,10000,Transfer,Supplier A,Selesai,17 Juli 2025,19 Juli 2025
87,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,17 Juli 2025,19 Juli 2025
88,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,17 Juli 2025,19 Juli 2025
89,Tipe A,260000,210000,210000,0,50000,Transfer,Supplier A,Selesai,17 Juli 2025,19 Juli 2025
90,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,16 Juli 2025,24 Juli 2025
91,Tipe A,260000,220000,220000,0,40000,Transfer,Supplier B,Selesai,16 Juli 2025,19 Juli 2025
92,Tipe B,230000,185000,185000,0,45000,Transfer,Supplier B,Selesai,20 Juli 2025,21 Juli 2025
93,Tipe A,250000,220000,220000,0,30000,Transfer,Supplier B,Selesai,20 Juli 2025,21 Juli 2025
94,Tipe A,250000,220000,220000,0,30000,Transfer,Supplier B,Selesai,20 Juli 2025,21 Juli 2025
95,Tipe A,250000,220000,220000,0,30000,Transfer,Supplier A,Selesai,21 Juli 2025,22 Juli 2025
96,Tipe A,250000,220000,220000,0,30000,Transfer,Supplier A,Selesai,21 Juli 2025,22 Juli 2025
97,Tipe A,250000,220000,220000,0,30000,Transfer,Supplier B,Selesai,21 Juli 2025,24 Juli 2025
98,Tipe A,250000,210000,210000,0,40000,Transfer,Supplier A,Selesai,22 Juli 2025,24 Juli 2025
99,Tipe A,250000,210000,210000,0,40000,Transfer,Supplier A,Selesai,22 Juli 2025,24 Juli 2025
100,Tipe A,250000,210000,210000,0,40000,Transfer,Supplier A,Selesai,22 Juli 2025,24 Juli 2025
101,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
102,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
103,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
104,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
105,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
106,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
107,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,23 Juli 2025,24 Juli 2025
108,Tipe A,210000,200000,200000,0,10000,Transfer,Supplier B,Selesai,22 Juli 2025,25 Juli 2025
109,Tipe A,210000,200000,200000,0,10000,Transfer,Supplier B,Selesai,22 Juli 2025,7 Agustus 2025
110,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier B,Selesai,22 Juli 2025,25 Juli 2025
111,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier B,Selesai,22 Juli 2025,25 Juli 2025
112,Tipe A,240000,185000,185000,0,55000,Transfer,Supplier B,Selesai,25 Juli 2025,28 Juli 2025
113,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier B,Selesai,25 Juli 2025,25 Juli 2025
114,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier C,Selesai,24 Juli 2025,30 Juli 2025
115,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier C,Selesai,24 Juli 2025,30 Juli 2025
116,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,24 Juli 2025,25 Juli 2025
117,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,25 Juli 2025,25 Juli 2025
118,Tipe A,250000,210000,210000,0,40000,Transfer,Supplier A,Selesai,25 Juli 2025,25 Juli 2025
119,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,26 Juli 2025,27 Juli 2025
120,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,26 Juli 2025,27 Juli 2025
121,Tipe A,240000,185000,185000,0,55000,Transfer,Supplier B,Selesai,26 Juli 2025,27 Juli 2025
122,Tipe A,240000,185000,185000,0,55000,Transfer,Supplier B,Selesai,26 Juli 2025,27 Juli 2025
123,Tipe A,240000,185000,185000,0,55000,Transfer,Supplier B,Selesai,26 Juli 2025,27 Juli 2025
124,Tipe A,240000,185000,185000,0,55000,Transfer,Supplier B,Selesai,26 Juli 2025,27 Juli 2025
125,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier B,Selesai,26 Juli 2025,28 Juli 2025
126,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,27 Juli 2025,28 Juli 2025
127,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,27 Juli 2025,28 Juli 2025
128,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier D,Selesai,27 Juli 2025,28 Juli 2025
129,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,28 Juli 2025,28 Juli 2025
130,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,27 Juli 2025,28 Juli 2025
131,Tipe A,210000,200000,200000,0,10000,Transfer,Supplier C,Selesai,28 Juli 2025,29 Juli 2025
132,Tipe B,185000,150000,150000,0,35000,Transfer,Supplier B,Selesai,28 Juli 2025,29 Juli 2025
133,Tipe B,185000,150000,150000,0,35000,Transfer,Supplier B,Selesai,28 Juli 2025,29 Juli 2025
134,Tipe B,185000,150000,150000,0,35000,Transfer,Supplier B,Selesai,28 Juli 2025,29 Juli 2025
135,Tipe B,185000,150000,150000,0,35000,Transfer,Supplier B,Selesai,28 Juli 2025,29 Juli 2025
136,Tipe A,240000,210000,210000,0,30000,Transfer,Supplier A,Selesai,28 Juli 2025,29 Juli 2025
137,Tipe A,230000,210000,210000,0,20000,Transfer,Supplier A,Selesai,28 Juli 2025,29 Juli 2025
138,Tipe A,230000,210000,210000,0,20000,Transfer,Supplier A,Selesai,28 Juli 2025,29 Juli 2025
139,Tipe A,230000,200000,200000,0,30000,Transfer,Supplier D,Selesai,29 Juli 2025,30 Juli 2025
140,Tipe A,230000,200000,200000,0,30000,Transfer,Supplier D,Selesai,29 Juli 2025,30 Juli 2025
141,Tipe A,230000,185000,185000,0,45000,Transfer,Supplier B,Selesai,29 Juli 2025,2 Agustus 2025
142,Tipe B,185000,155000,155000,0,30000,Transfer,Supplier B,Selesai,30 Juli 2025,2 Agustus 2025
143,Tipe B,185000,155000,155000,0,30000,Transfer,Supplier B,Selesai,30 Juli 2025,4 Agustus 2025
144,Tipe B,185000,155000,155000,0,30000,Transfer,Supplier B,Selesai,30 Juli 2025,2 Agustus 2025
145,Tipe B,220000,155000,155000,0,65000,Transfer,Supplier B,Selesai,30 Juli 2025,14 Agustus 2025
146,Tipe A,230000,190000,190000,0,40000,Transfer,Supplier A,Selesai,30 Juli 2025,2 Agustus 2025
147,Tipe A,220000,180000,180000,0,40000,Transfer,Supplier B,Selesai,1 Agustus 2025,2 Agustus 2025
148,Tipe A,250000,190000,190000,0,60000,Transfer,Supplier B,Selesai,1 Agustus 2025,2 Agustus 2025
149,Tipe A,210000,190000,190000,0,20000,Transfer,Supplier B,Selesai,1 Agustus 2025,2 Agustus 2025
150,Tipe B,185000,175000,175000,0,10000,Transfer,Supplier A,Selesai,1 Agustus 2025,2 Agustus 2025
151,Tipe B,185000,175000,175000,0,10000,Transfer,Supplier A,Selesai,1 Agustus 2025,7 Agustus 2025
152,Tipe A,185000,175000,175000,0,10000,Transfer,Supplier A,Selesai,1 Agustus 2025,2 Agustus 2025
153,Tipe B,185000,175000,175000,0,10000,Transfer,Supplier A,Selesai,1 Agustus 2025,2 Agustus 2025
154,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,2 Agustus 2025,14 Agustus 2025
155,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,2 Agustus 2025,14 Agustus 2025
156,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,2 Agustus 2025,2 Agustus 2025
157,Tipe A,240000,200000,200000,0,40000,Transfer,Supplier C,Selesai,2 Agustus 2025,2 Agustus 2025
158,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
159,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
160,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
161,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
162,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
163,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,3 Agustus 2025,7 Agustus 2025
164,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,4 Agustus 2025,7 Agustus 2025
165,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,4 Agustus 2025,14 Agustus 2025
166,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,4 Agustus 2025,14 Agustus 2025
167,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,5 Agustus 2025,7 Agustus 2025
168,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,5 Agustus 2025,7 Agustus 2025
169,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,6 Agustus 2025,8 Agustus 2025
170,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,8 Agustus 2025,12 Agustus 2025
171,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,8 Agustus 2025,12 Agustus 2025
172,Tipe A,220000,185000,185000,0,35000,Transfer,Supplier B,Selesai,8 Agustus 2025,12 Agustus 2025
173,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,7 Agustus 2025,12 Agustus 2025
174,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,7 Agustus 2025,12 Agustus 2025
175,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,7 Agustus 2025,12 Agustus 2025
176,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,7 Agustus 2025,12 Agustus 2025
177,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,8 Agustus 2025,12 Agustus 2025
178,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,8 Agustus 2025,12 Agustus 2025
179,Tipe A,220000,200000,200000,0,20000,Transfer,Supplier C,Selesai,9 Agustus 2025,12 Agustus 2025
180,Tipe A,210000,190000,190000,0,20000,Transfer,Supplier A,Selesai,9 Agustus 2025,12 Agustus 2025
181,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,9 Agustus 2025,12 Agustus 2025
182,Tipe A,200000,190000,190000,0,10000,Transfer,Supplier A,Selesai,9 Agustus 2025,12 Agustus 2025
183,Tipe A,220000,180000,180000,0,40000,Transfer,Supplier B,Selesai,11 Agustus 2025,14 Agustus 2025
184,Tipe A,220000,180000,180000,0,40000,Transfer,Supplier B,Selesai,11 Agustus 2025,20 Agustus 2025
185,Tipe A,220000,180000,180000,0,40000,Transfer,Supplier B,Selesai,11 Agustus 2025,14 Agustus 2025
186,Tipe A,220000,190000,190000,0,30000,Transfer,Supplier A,Selesai,11 Agustus 2025,14 Agustus 2025
187,Tipe A,210000,190000,190000,0,20000,Transfer,Supplier A,Selesai,12 Agustus 2025,14 Agustus 2025
188,Tipe A,210000,190000,190000,0,20000,Transfer,Supplier A,Selesai,12 Agustus 2025,14 Agustus 2025
